name,lat,lon,要素,住所,説明
甲州街道,35.65147378,139.3002328,八王子景観100選、八王子八十八景、景観重要公共施設,並木町他,国道20号の明神町交差点から高尾駅前交差点の区間は、八王子市を東西に貫き、市街地と高尾山等の山並みをつなぐ、景観上重要な軸となっています。
多摩御陵参道,35.65004078,139.2889396,景観重要公共施設,長房町,旧東浅川宮廷駅から甲州街道（国道20号）を経て、武蔵陵墓地へ至る約850メートルの参道は、約160本のケヤキが植えられた並木となっており、南浅川に架かる南浅川橋とともに、四季折々の、水と緑が感じられる落ち着きのある景観が形成されています。
高尾山参道,35.63120071,139.2681785,八王子景観100選、景観重要公共施設,高尾町,甲州街道（国道20号）から高尾山ケーブルカー清滝駅前広場までの約180メートルの区間は、石畳風の道路舗装整備や電線類の地中化等により高尾山薬王院への参道として趣と風格のある道路景観が形成されています。
桑並木通り,35.65850131,139.3393753,八王子八十八景、景観重要公共施設,横山町他,ＪＲ八王子駅北口は、駅ビルと一体となった「マルベリーブリッジ」が新たな都市空間を創り出しています。駅の正面から甲州街道（国道20号）へと伸びる桑並木通りは、駅前通りの賑わいの中に、植栽や街路樹、通りの先に見える丘陵地の緑による豊かな自然環境を実感できる空間となっています。
西放射線ユーロード,35.65789281,139.3369239,八王子景観100選、八王子八十八景、景観重要公共施設,中町他,ＪＲ八王子駅北口から甲州街道（国道20号）八日町交差点へと至る「西放射線ユーロード」は、都市の拠点として商業・業務機能が集積する界隈を貫く自転車歩行者専用の道路であり、個性豊かな賑わいのある景観が形成されています。
絹の道,35.6215869,139.3521073,八王子景観100選、八王子八十八景、景観重要公共施設,鑓水,かつて、八王子宿に集められた生糸を横浜まで運ぶための通商路として栄えた「絹の道」は、御殿橋のたもとから「絹の道碑」前までの約1.5ｋｍが市の史跡に指定され、また、往時の面影を色濃く残す未舗装道は、「浜街道」として文化庁選定「歴史の道百選」にも選ばれています。
多摩川,35.69279422,139.3576576,八王子八十八景、景観重要公共施設,平町、小宮町、高月町,多摩川右岸には滝山丘陵の斜面が迫り、川の流れと緑が調和した河川景観となっています。
浅川,35.66804464,139.3157731,景観重要公共施設,中野上町１丁目他,浅川は、本市の「母なる川」とも呼ばれ、市域中央を東西に走り、山地・丘陵地と市街地を結ぶ、景観の骨格となる重要な河川です。
滝山公園,35.7010972,139.3309327,八王子八十八景、景観重要公共施設,高月町,滝山公園は、八王子市の北部に広がる加住丘陵にあり、都立滝山自然公園の一部となっています。公園内には国の史跡として指定された城跡があり、本丸、二の丸、千畳敷、空堀などの遺構が良好な状態で残っています。
小宮公園,35.67344547,139.340674,八王子八十八景、景観重要公共施設,暁町２丁目４１?６,小宮公園は、JR八王子駅のほぼ真北、標高約160ｍの加住丘陵にある公園です。市街地にありながら四季それぞれの彩りに包まれる静かな雑木林には、コナラ、クヌギを主体とした木々が生茂り、小川や池、明るい草原は多種多様な昆虫と野鳥を育んでいます。
長沼公園,35.6383036,139.3685259,八王子八十八景、景観重要公共施設,長沼町,長沼公園は、京王線長沼駅の南、高低差が100ｍにも及ぶ多摩丘陵の北斜面にある公園です。麓と尾根をつなぐ沢伝いの園路は自然の山道と変わらない雰囲気の中の散策を楽しむことができ、尾根や丘陵上の広場からは浅川の流れる八王子市街や奥多摩の山々を眺めることができます。
平山城址公園,35.63984994,139.3828487,景観重要公共施設,堀之内,平山城址公園は、日野市との市境に戸建住宅や大学に隣接して多摩丘陵の南東斜面に広がる公園です。２つの谷が形成された地形で、コナラを主体とした木々が茂る雑木林には、多種多様な植物が確認されています。
片倉城跡公園,35.64022488,139.3375293,八王子景観100選、八王子八十八景、景観重要公共施設,片倉町２４７５,片倉城跡公園には､室町時代に築城された山城の城郭と古い遺構が良好な状態で残っています。園内は豊かな植物相に恵まれ、特に春先のカタクリの花が咲く頃には､多くの市民が訪れ、花菖蒲田と水車小屋付近は、里山の原風景も残っています。
長池公園,35.6114703,139.3927043,八王子景観100選、景観重要公共施設,別所２丁目５８,長池公園は、既存の自然環境を広大に残した自然保全型の公園で、貴重な動植物の宝庫となっています。ハンノキの植物群落やコナラを中心とした雑木林や湧水池があり、水田、畑、炭焼き小屋などの自然体験施設も整備され、昔ながらの里山の景観が残されています。
